Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.79190785246178E-12,-4.73285476426069E-11,1.22993156310138E-05,0,0,0,0.071294423148794,0.00039909716321472,-6.42255536015403E-13,-1.70947655441163E-16,3.1007733586229E-05,-3.32423473596328E-15,0.000378318474974679,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/base_link.STL,,Center Spine Connection-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_Hip,-0.0542406994322873,0.0327335172749213,3.69224386728647E-05,0,0,0,0.122989405191837,0.000104696460550069,-5.87910722635516E-13,-4.97582005308306E-12,9.37282525412572E-05,2.09107841059147E-08,0.000157523573859397,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Hip.STL,,Assem9^Whole BODY URDF SET UP-1/Large Torso Shoulder Mount-1;Assem9^Whole BODY URDF SET UP-1/Servo Horns-2;Assem9^Whole BODY URDF SET UP-1/Servo Horns-1,Origin_Front_Hip,Axis_Front_Hip,Front_Hip,fixed,0.0542407007709616,0.1149985,5.35317635531158E-05,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Front_Left_Shoulder,0.0137739851795447,-0.0125083167030698,-0.0391386009814933,0,0,0,0.140436940047647,2.80379795093138E-05,5.40046079082891E-07,5.83190778717332E-09,4.80687439403981E-05,1.13010403668756E-07,4.46905233653811E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Left_Shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Left_Shoulder.STL,,Assem12^Whole BODY URDF SET UP-1,Origin_Front_Left_Shoulder,Axis_Front_Left_Shoulder,Front_Left_Shoulder,revolute,-0.118561401541924,0,0,1.5707963267949,-0.0365489253746626,0,Front_Hip,0,0,1,0,0,-1.57,1.57,,,,,,,,
Front_Left_Upper_Leg,-0.013828468336801,-0.0347803760792297,0.0524397996627176,0,0,0,0.0622185371057375,3.95026603492114E-05,3.21197096295723E-06,-4.52317411179885E-06,3.18332809188606E-05,1.54040416662482E-05,2.00120493439797E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Left_Upper_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Left_Upper_Leg.STL,,Assem10^Whole BODY URDF SET UP-1,Origin_Front_Left_Upper_Leg,Axis_Front_Left_Upper_Leg,Front_Left_Upper_Leg,revolute,-0.00185531578486946,-0.0359521599259129,-0.0287921500156247,0.940540322874895,-0.0416664486626156,-0.0211815707953396,Front_Left_Shoulder,0.998671109053135,-0.0515365495797057,0,0,0,-1.57,1.57,,,,,,,,
Front_Left_Lower_Leg,-0.013627773699421,-0.0505339035503839,-0.0279236330848666,0,0,0,0.0155256621613376,2.38562608052736E-05,-8.45654826937263E-07,-4.48322423473567E-07,5.96509335756933E-06,-9.53108411145718E-06,1.82031583321377E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Left_Lower_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Left_Lower_Leg.STL,,Assem11^Whole BODY URDF SET UP-1,Origin_Front_Left_Lower_Leg,Axis_Front_Left_Lower_Leg,Front_Left_Lower_Leg,revolute,-0.0239845511436166,-0.0511939313025561,0.0774627196076526,-1.41646272232564,0.0509476316630302,-0.0436370237871092,Front_Left_Upper_Leg,0.998671109053135,-0.0515365495797045,0,0,0,-1.57,1.57,,,,,,,,
Front_Right_Shoulder,-0.00461374227477768,-0.0147975561386528,-0.0391253002509455,0,0,0,0.107869096375755,2.22394596492884E-05,4.94574385861692E-07,-2.34396356728717E-07,3.46102501709838E-05,-4.77724670579504E-08,2.85445263842194E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Right_Shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Right_Shoulder.STL,,Right Shoulder Assembly-1,Origin_Front_Right_Shoulder,Axis_Front_Right_Shoulder,Front_Right_Shoulder,revolute,0.01,0,0,1.5707963267949,0,0,Front_Hip,0,0,1,0,0,-1.57,1.57,,,,,,,,
Front_Right_Upper_Leg,0.0145550029352903,-0.0502252403815318,0.0259318743793064,0,0,0,0.0933622195739167,7.29830993324334E-05,-1.14286742787086E-05,5.90010674565742E-06,2.77722076589883E-05,2.5260247986535E-05,6.365336801426E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Right_Upper_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Right_Upper_Leg.STL,,Right Upper Leg Assembly-1,Origin_Front_Right_Upper_Leg,Axis_Front_Right_Upper_Leg,Front_Right_Upper_Leg,revolute,0,-0.036,-0.029045,0.44974,0,0,Front_Right_Shoulder,1,0,0,0,0,-1.57,1.57,,,,,,,,
Front_Right_Lower_Leg,0.00576780968735226,-0.0400146670662228,-0.0384290667257317,0,0,0,0.0163128824034601,2.39312087583541E-05,-6.54525511915453E-08,-6.28595038453952E-08,1.16247328034214E-05,-1.13363303959217E-05,1.2541700988633E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Right_Lower_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Front_Right_Lower_Leg.STL,,Right Lower Leg Assembly-1,Origin_Front_Right_Lower_Leg,Axis_Front_Right_Lower_Leg,Front_Right_Lower_Leg,revolute,0.0265392992290382,-0.0830793712108725,0.0428960147240504,-1.19874044905665,0,0,Front_Right_Upper_Leg,1,0,0,0,0,-1.57,1.57,,,,,,,,
Back_Hip,-0.0542406994322873,0.0327335172749213,3.69224386728792E-05,0,0,0,0.122989405191837,0.000104696460550069,-5.87910662549153E-13,-4.97582009755223E-12,9.37282525412574E-05,2.09107841058986E-08,0.000157523573859397,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Hip.STL,,Assem9^Whole BODY URDF SET UP-2/Large Torso Shoulder Mount-1;Assem9^Whole BODY URDF SET UP-2/Servo Horns-1;Assem9^Whole BODY URDF SET UP-2/Servo Horns-2,Origin_Back_Hip,Axis_Back_Hip,Back_Hip,fixed,0.0542407007709615,-0.1897985,5.35317635530875E-05,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Back_Right_Shoulder,-0.00461374227477766,-0.0147975561386528,-0.0391253002509455,0,0,0,0.107869096375755,2.22394596492884E-05,4.94574385861687E-07,-2.34396356728706E-07,3.46102501709838E-05,-4.77724670579554E-08,2.85445263842194E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Right_Shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Right_Shoulder.STL,,Right Shoulder Assembly-2,Origin_Back_Right_Shoulder,Axis_Back_Right_Shoulder,Back_Right_Shoulder,revolute,0.01,0,0,1.5708,0,0,Back_Hip,0,0,1,0,0,-1.57,1.57,,,,,,,,
Back_Right_Upper_Leg,0.0145550053871803,-0.0502252420928833,0.0259318753118444,0,0,0,0.0933621516080197,7.29830747018299E-05,-1.14286631327967E-05,5.90010371255244E-06,2.77721811554339E-05,2.52602440014786E-05,6.36533221440965E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Right_Upper_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Right_Upper_Leg.STL,,Right Upper Leg Assembly-2,Origin_Back_Right_Upper_Leg,Axis_Back_Right_Upper_Leg,Back_Right_Upper_Leg,revolute,0,-0.0360000000000002,-0.0290449999999998,0.475650962623188,0,0,Back_Right_Shoulder,1,0,0,0,0,-1.57,1.57,,,,,,,,
Back_Right_Lower_Leg,0.00576780968178839,-0.0400146670657066,-0.0384290667120216,0,0,0,0.0163128824062683,2.39312087567548E-05,-6.54525438821805E-08,-6.2859497216114E-08,1.16247328026077E-05,-1.13363303950842E-05,1.25417009878186E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Right_Lower_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Right_Lower_Leg.STL,,Right Lower Leg Assembly-2,Origin_Back_Right_Lower_Leg,Axis_Back_Right_Lower_Leg,Back_Right_Lower_Leg,revolute,0.0265392992290382,-0.0830793712108724,0.0428960147240505,-1.20853606323344,0,0,Back_Right_Upper_Leg,1,0,0,0,0,-1.57,1.57,,,,,,,,
Back_Left_Shoulder,0.0137672464683883,-0.012515733265331,-0.0391386009811263,0,0,0,0.140436940048382,2.80385670336967E-05,5.50833906686902E-07,5.89277080733467E-09,4.80681564157603E-05,1.13007246021601E-07,4.46905233660077E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Left_Shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Left_Shoulder.STL,,Assem12^Whole BODY URDF SET UP-2,Origin_Back_Left_Shoulder,Axis_Back_Left_Shoulder,Back_Left_Shoulder,revolute,-0.118561401541923,0,0,1.5707963267949,-0.0348277893882829,0,Back_Hip,0,0,1,0,0,-1.57,1.57,,,,,,,,
Back_Left_Upper_Leg,-0.0139225751564403,-0.0355664907379372,0.0518891619621726,0,0,0,0.0622186079139299,3.95156477351144E-05,3.25854795211541E-06,-4.44575114070896E-06,3.13613450807017E-05,1.55816275661627E-05,2.04710672878226E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Left_Upper_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Left_Upper_Leg.STL,,Assem10^Whole BODY URDF SET UP-2,Origin_Back_Left_Upper_Leg,Axis_Back_Left_Upper_Leg,Back_Left_Upper_Leg,revolute,-0.0018553,-0.035952,-0.028792,0.97568,-0.042707,-0.022664,Back_Left_Shoulder,0.99867,-0.051537,0,0,0,-1.57,1.57,,,,,,,,
Back_Left_Lower_Leg,-0.0135010627757997,-0.0498626288456318,-0.0291747645759395,0,0,0,0.0155256628725993,2.38552235022288E-05,-8.56562370246991E-07,-4.54289055186908E-07,5.96615071085713E-06,-9.53081394361671E-06,1.82031383642722E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Left_Lower_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP ( V2 )/meshes/Back_Left_Lower_Leg.STL,,Assem11^Whole BODY URDF SET UP-2,Origin_Back_Left_Lower_Leg,Axis_Back_Left_Lower_Leg,Back_Left_Lower_Leg,revolute,-0.024177,-0.051184,0.077463,-1.4523,0.051199,-0.045467,Back_Left_Upper_Leg,0.99867,-0.051537,0,0,0,-1.57,1.57,,,,,,,,
